date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:07	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Jul%202025%2008:52:06%20GMT	https://rockshopping.vercel.app/robots.txt		(from )
14:22:07	10867/10867	---MCZ	200	added ('OK')	text/html	etag:W/%22c36809b3ee679c984d183ac3aa22c418%22	https://rockshopping.vercel.app/	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/index.html	(from )
14:22:08	232914/232914	---M-Z	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/vercel/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://rockshopping.vercel.app/)
14:22:08	259/259	---M--	200	added ('OK')	text/css	etag:%224f2ee9f09317f90b580624388c77db5e%22	https://rockshopping.vercel.app/style.css	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/style.css	(from https://rockshopping.vercel.app/)
14:22:09	3991/3991	---MCZ	200	added ('OK')	text/html	etag:W/%22f0fc759fd8e18e1bf2de3cae63ab4545%22	https://rockshopping.vercel.app/about.html	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/about.html	(from https://rockshopping.vercel.app/)
14:22:09	3871/3871	---MCZ	200	added ('OK')	text/html	etag:W/%224bb6ecfb82e6d6b14dbc12fa7b205194%22	https://rockshopping.vercel.app/contact.html	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/contact.html	(from https://rockshopping.vercel.app/)
14:22:10	1650981/1650981	---M--	200	added ('OK')	image/jpeg	etag:%22e9a0903348e5513ccb8d360a9a688d44%22	https://rockshopping.vercel.app/banner.jpg	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/banner.jpg	(from https://rockshopping.vercel.app/)
14:22:11	1165634/1165634	---M--	200	added ('OK')	image/jpeg	etag:%22e28788a9ff1fec2d90a7709e3317bd99%22	https://rockshopping.vercel.app/about.jpg	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/about.jpg	(from https://rockshopping.vercel.app/)
14:22:12	1384328/1384328	---M--	200	added ('OK')	image/jpeg	etag:%226277330d1eda9df5061f15980d89b427%22	https://rockshopping.vercel.app/smartphone.jpg	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/smartphone.jpg	(from https://rockshopping.vercel.app/)
14:22:12	4912/4912	---MCZ	200	added ('OK')	text/html	etag:W/%2264d6717c71211c34d76de42fcbb897b7%22	https://rockshopping.vercel.app/smartphone.html	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/smartphone.html	(from https://rockshopping.vercel.app/)
14:22:13	2601689/2601689	---M--	200	added ('OK')	image/jpeg	etag:%227df01667e9b73b28a32b50bbb934f585%22	https://rockshopping.vercel.app/4k-smart-tv.jpg	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/4k-smart-tv.jpg	(from https://rockshopping.vercel.app/)
14:22:13	5037/5037	---MCZ	200	added ('OK')	text/html	etag:W/%22c61aa977c6e4b89ead299d563a91d24c%22	https://rockshopping.vercel.app/4k-smart-tv.html	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/4k-smart-tv.html	(from https://rockshopping.vercel.app/)
14:22:13	467849/467849	---M--	200	added ('OK')	image/jpeg	etag:%221e138c69bdd5bd199e7afcd5ba595e4d%22	https://rockshopping.vercel.app/wireless-earbuds.jpg	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/wireless-earbuds.jpg	(from https://rockshopping.vercel.app/)
14:22:15	5053/5053	---MCZ	200	added ('OK')	text/html	etag:W/%22340f7ebe62e2749288495f4daa06f7dc%22	https://rockshopping.vercel.app/wireless-earbuds.html	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/wireless-earbuds.html	(from https://rockshopping.vercel.app/)
14:22:15	3157278/3157278	---M--	200	added ('OK')	image/jpeg	etag:%22c3b4d1bed198b429169b64b4c0ca0dc0%22	https://rockshopping.vercel.app/smart-watch-pro.jpg	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/smart-watch-pro.jpg	(from https://rockshopping.vercel.app/)
14:22:16	4987/4987	---MCZ	200	added ('OK')	text/html	etag:W/%220868cf56a2ea4f124a31b36026ac8f7b%22	https://rockshopping.vercel.app/smart-watch-pro.html	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/smart-watch-pro.html	(from https://rockshopping.vercel.app/)
14:22:16	755056/755056	---M--	200	added ('OK')	image/jpeg	etag:%22be7f6d738520ef336b1a96c5db140e95%22	https://rockshopping.vercel.app/laptop-zbook.jpg	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/laptop-zbook.jpg	(from https://rockshopping.vercel.app/)
14:22:17	5095/5095	---MCZ	200	added ('OK')	text/html	etag:W/%22f8dfbea3086841d8676ede5404f693d6%22	https://rockshopping.vercel.app/laptop-zbook.html	C:/My%20Web%20Sites/vercel/rockshopping.vercel.app/laptop-zbook.html	(from https://rockshopping.vercel.app/)
